G000005825	False	True	0.0	0.0	0.94
G000006175	False	True	0.0	0.0	0.97
G000006605	False	True	0.0	0.0	0.96
G000006725	False	True	0.38	0.03	0.88
G000006745	False	True	0.0	0.0	0.98
G000006785	False	True	0.0	0.0	0.94
G000006845	False	True	0.0	0.0	0.97
G000006865	False	True	0.0	0.0	0.81
G000006925	False	True	0.01	0.23	0.94
G000006965	False	True	0.41	0.33	0.83
G000006985	False	True	0.0	0.0	0.98
G000007005	False	True	0.0	0.0	0.96
G000007025	False	True	0.0	0.0	0.9
G000007085	False	True	0.0	0.0	0.97
G000007105	False	True	0.0	0.0	0.98
G000007145	False	True	0.0	0.0	0.97
G000007185	False	True	0.0	0.0	0.92
G000007205	False	True	0.0	0.0	0.96
G000007225	False	True	0.0	0.0	0.96
G000007265	False	True	0.0	0.0	0.98
G000007305	False	True	0.0	0.0	0.97
G000007325	False	True	0.0	0.0	0.98
G000007345	False	True	0.0	0.0	0.9
G000007365	False	True	0.0	0.0	0.96
G000007385	False	True	0.0	0.0	0.96
G000007465	False	True	0.0	0.0	0.98
G000007485	False	True	0.0	0.0	0.86
G000007525	False	True	0.0	0.0	0.95
G000007565	False	True	0.0	0.0	0.98
G000007605	False	True	0.0	0.0	0.97
G000007625	False	True	0.0	0.0	0.93
G000007645	False	True	0.0	0.0	0.93
G000007705	False	True	0.0	0.0	0.98
G000007725	False	True	0.0	0.0	0.95
G000007745	False	True	0.0	0.0	0.99
G000007765	False	True	0.06	0.02	0.79
G000007785	False	True	0.0	0.0	0.95
G000007805	False	True	0.0	0.0	0.96
G000007825	False	True	0.0	0.0	0.96
G000007845	False	True	0.0	0.0	0.97
G000007865	False	True	0.0	0.0	0.97
G000007905	False	True	0.0	0.0	0.98
G000007925	False	True	0.0	0.0	0.98
G000007945	False	True	0.0	0.0	0.97
G000007985	False	True	0.0	0.0	0.98
G000008025	False	True	0.0	0.0	0.88
G000008045	False	True	0.0	0.0	0.96
G000008165	False	True	0.0	0.0	0.97
G000008185	False	True	0.0	0.0	0.98
G000008245	False	False	0.0	0.0	0.97
G000008265	False	True	0.0	0.0	0.95
G000008325	False	True	0.0	0.0	0.95
G000008345	False	True	0.0	0.0	0.95
G000008365	False	False	0.0	0.0	0.96
G000008385	False	True	0.0	0.0	0.87
G000008465	False	True	0.0	0.0	0.99
G000008505	False	True	0.0	0.0	0.92
