G000005825	False	True	0.0	0.0	0.94	4249248	3	3858997	0.00
G000006175	False	True	0.0	0.0	0.97	1936387	1	1936387	0.00
G000006605	False	True	0.0	0.0	0.96	2476822	2	2462499	0.00
G000006725	False	True	0.38	0.03	0.88	2731750	3	2679306	0.07
G000006745	False	True	0.0	0.0	0.98	4033464	2	2961149	0.92
G000006785	False	True	0.0	0.0	0.94	1852433	1	1852433	0.00
G000006845	False	True	0.0	0.0	0.97	2153922	1	2153922	0.00
G000006865	False	True	0.0	0.0	0.81	2365589	1	2365589	0.00
G000006925	False	True	0.01	0.23	0.94	4828820	2	4607202	0.12
G000006965	False	True	0.41	0.33	0.83	6691694	3	3654135	0.15
G000006985	False	True	0.0	0.0	0.98	2154946	1	2154946	0.32
G000007005	False	True	0.0	0.0	0.96	2992245	1	2992245	0.00
G000007025	False	True	0.0	0.0	0.9	1268755	1	1268755	0.00
G000007085	False	True	0.0	0.0	0.97	2689445	1	2689445	0.00
G000007105	False	True	0.0	0.0	0.98	2056363	1	2056363	0.00
G000007145	False	True	0.0	0.0	0.97	5076188	1	5076188	0.32
G000007185	False	True	0.0	0.0	0.92	1694969	1	1694969	0.00
G000007205	False	True	0.0	0.0	0.96	1225935	1	1225935	0.00
G000007225	False	True	0.0	0.0	0.96	2222430	1	2222430	0.00
G000007265	False	True	0.0	0.0	0.98	2160267	1	2160267	0.00
G000007305	False	True	0.0	0.0	0.97	1908256	1	1908256	0.00
G000007325	False	True	0.0	0.0	0.98	2174500	1	2174500	0.05
G000007345	False	True	0.0	0.0	0.9	5751492	1	5751492	0.00
G000007365	False	True	0.0	0.0	0.96	641454	1	641454	0.00
G000007385	False	True	0.0	0.0	0.96	4941439	1	4941439	0.00
G000007465	False	True	0.0	0.0	0.98	2032925	1	2032925	0.00
G000007485	False	True	0.0	0.0	0.86	927303	1	927303	0.00
G000007525	False	True	0.0	0.0	0.95	2260266	2	2256640	0.00
G000007565	False	True	0.0	0.0	0.98	6181873	1	6181873	0.00
G000007605	False	True	0.0	0.0	0.97	1181356	2	1173390	0.00
G000007625	False	True	0.0	0.0	0.93	2873333	2	2799251	0.00
G000007645	False	True	0.0	0.0	0.93	2564615	7	2499279	0.00
G000007705	False	True	0.0	0.0	0.98	4751080	1	4751080	0.00
G000007725	False	True	0.0	0.0	0.95	618379	2	615980	0.00
G000007745	False	True	0.0	0.0	0.99	2314078	1	2314078	0.00
G000007765	False	True	0.06	0.02	0.79	2032807	2	1995488	0.00
G000007785	False	True	0.0	0.0	0.95	3359974	4	3218031	0.00
G000007805	False	True	0.0	0.0	0.96	6538260	3	6397126	0.00
G000007825	False	True	0.0	0.0	0.96	5427083	2	5411809	0.00
G000007845	False	True	0.0	0.0	0.97	5227293	1	5227293	0.00
G000007865	False	True	0.0	0.0	0.97	4829781	1	4829781	0.00
G000007905	False	True	0.0	0.0	0.98	1799146	1	1799146	0.00
G000007925	False	True	0.0	0.0	0.98	1751080	1	1751080	0.00
G000007945	False	True	0.0	0.0	0.97	1698955	1	1698955	0.00
G000007985	False	True	0.0	0.0	0.98	3814128	1	3814128	0.00
G000008025	False	True	0.0	0.0	0.88	1267782	1	1267782	0.00
G000008045	False	True	0.0	0.0	0.96	1111496	1	1111496	0.00
G000008165	False	True	0.0	0.0	0.97	5228663	1	5228663	0.00
G000008185	False	True	0.0	0.0	0.98	2843201	1	2843201	0.00
G000008245	False	False	0.0	0.0	0.97	799476	1	799476	0.00
G000008265	False	True	0.0	0.0	0.95	1545895	1	1545895	0.00
G000008325	False	True	0.0	0.0	0.95	3304561	1	3304561	0.03
G000008345	False	True	0.0	0.0	0.95	2560265	1	2560265	0.00
G000008365	False	False	0.0	0.0	0.96	777079	1	777079	0.00
G000008385	False	True	0.0	0.0	0.87	1080084	1	1080084	0.00
G000008465	False	True	0.0	0.0	0.99	2839318	1	2839318	0.00
G000008505	False	True	0.0	0.0	0.92	5314794	2	5237682	0.02
G000008525	False	True	0.0	0.0	0.97	1667867	1	1667867	2.52
G000008545	False	True	0.0	0.0	0.99	1860725	1	1860725	0.00
