0	G000007465	G000007465	916	0.02463125909058661	0.0	0.0015213673164753553	best	10	1
2	G000007725	G000007725	1798	0.2533850923090668	0.11546583820513735	0.1610820789734742	best	10	1
0	G000007825	G000007825	868	0.03151073673221738	0.027485060462319993	0.027909235391273286	best	10	1
1	G000007905	G000007905	1297	0.15363779532689925	0.13638913584074733	0.11770235998366067	best	10	1
0	G000008385	G000008385	1427	0.21416916959381993	0.18443663829319468	0.10891060410879538	best	10	1
0	G000008565	G000008565	408	0.2136331250683181	0.07939198024885315	0.016097819120356023	best	10	1
0	G000008725	G000008725	1064	0.11983012490672351	0.08519058897750297	0.06744552747778793	best	10	1
0	G000009765	G000009765	526	0.7831125407217456	0.004772723372107894	0.013414711259075167	best	10	1
0	G000009825	G000009825	843	0.02670131282500776	0.01049590621404902	0.08143736632137373	best	10	1
0	G000009905	G000009905	623	0.043644263577898634	0.16874879963727546	0.14764160099055607	best	10	1
3	G000009985	G000009985	1446	0.03332451428259198	0.02616297416286168	0.10875257362523631	best	10	1
0	G000010205	G000010205	1417	0.2189298286289798	2.7272138529285623e-05	0.0002314377640015215	best	10	1
1	G000010325	G000010325	1318	0.16369845052969367	0.013722549618765258	0.11639915172346384	best	10	1
3	G000011185	G000011185	1905	0.6588552876600176	0.5500457186126657	0	best	10	1
0	G000011985	G000011985	941	0.054364387499916234	0.024053738211193332	0.02160991357838933	best	10	1
0	G000012425	G000012425	1605	0.04669282472818992	0.01369761654854124	0.10152645133481744	best	10	1
2	G000012545	G000012545	1894	0.2602582097484625	0.05448756305736515	0.07102096581499104	best	10	1
1	G000013565	G000013565	1504	0.024176917047761037	0.0025578947216752315	0.07214231215661598	best	10	1
0	G000013725	G000013725	1939	0.326690721140384	0.032153070784178256	0.021302189328280662	best	10	1
1	G000013765	G000013765	1771	0.1220525392434979	0.00497539552575697	0.052973541875745225	best	10	1
1	G000013885	G000013885	1522	0.1497065932977506	0.005593977258674247	0.03799777303984782	best	10	1
0	G000014385	G000014385	956	0.09238596716388248	0.0030565083228574763	0	best	10	1
0	G000014465	G000014465	966	0.09925752245472452	0.02676411182820588	0.037788728275084414	best	10	1
1	G000014825	G000014825	1518	0.09332511692176126	0.03184122417645208	0.02492046173619494	best	10	1
0	G000015345	G000015345	1608	0.12050881989970286	0.15074741662857216	0.20341028026791852	best	10	1
0	G000016065	G000016065	1770	0.09244353239866143	0.015019834218442687	0.03706967188048884	best	10	1
0	G000016505	G000016505	676	0.2674552186964192	0.07000108712623535	0.05591720734507303	best	10	1
4	G000016545	G000016545	986	0.08263568588302839	0.007723611144640171	0.12796416221563933	best	10	1
0	G000016745	G000016745	1369	0.10289704181723103	0.058152217829986155	0.06054761638132002	best	10	1
0	G000017305	G000017305	543	0.08020566699678255	0.019615635817366365	0.08616103724893659	best	10	1
0	G000017425	G000017425	868	0.04565315687344729	0.026571229198073636	0.023083963229754895	best	10	1
0	G000017585	G000017585	1305	0.2371699859140861	0.10325050514787606	0.09966885346748028	best	10	1
19	G000017945	G000017945	1070	0.5260585954801495	0.3319486765273773	0.11642907403933773	best	10	1
0	G000018425	G000018425	631	0.03193764145992084	0.1267818877615153	0.14094422929834735	best	10	1
1	G000018885	G000018885	551	0.09221396215492739	0.00863470651613371	0.08724447956011595	best	10	1
0	G000019205	G000019205	1308	0.2829395262593728	0.07315400424674087	0.04805753950838535	best	10	1
2	G000019745	G000019745	1604	0.06562230821242565	0.0038797085394968343	0.13671169626712604	best	10	1
0	G000019845	G000019845	1526	0.05472098085003996	0.01620432414711844	0.10928783975047462	best	10	1
0	G000020525	G000020525	1271	0.027130667660186347	0.005668842024960206	0.19855662117408587	best	10	1
